DIM_TIME;GEO_NAME_SHORT;DIM_SEX;RATE_PER_100_N;RATE_PER_100_NL;RATE_PER_100_NU
1997;Armenia;FEMALE;19.94083800000000;17.19526600000000;22.84428800000000
1998;Georgia;MALE;13.39622400000000;9.55264720000000;17.89078400000000
1998;Armenia;TOTAL;14.54215800000000;12.69140700000000;16.47878400000000
1998;Azerbaijan;FEMALE;21.34306300000000;18.41748400000000;24.50372300000000
1998;Georgia;FEMALE;20.50812400000000;16.16800700000000;25.44742500000000
1998;Georgia;TOTAL;17.48120900000000;14.45032700000000;20.73803400000000
1998;Armenia;MALE;7.20449460000000;4.94016370000000;9.97510550000000
1998;Azerbaijan;TOTAL;14.80445000000000;12.95500500000000;16.77671200000000
1998;Azerbaijan;MALE;6.87066690000000;4.89093210000000;9.13039820000000
1998;Armenia;FEMALE;20.37087700000000;17.72428200000000;23.15098200000000
